DiseaseType,pathway
bladder,OFF00818
bladder,OFF01001
bladder,OFF02070
bladder,OFF02207
bladder,OFF02388
bladder,OFF02406
bladder,OFF10301
bladder,OFF10391
bladder,OFF10919
bladder,OFF11652
bladder,OFF11969
bladder,OFF12310
bladder,Unknown
breast,OFF00004
breast,OFF00005
breast,OFF00006
breast,OFF00012
breast,OFF00015
breast,OFF00016
breast,OFF00017
breast,OFF00032
breast,OFF00894
breast,OFF02076
breast,OFF02134
breast,OFF02167
breast,OFF02256
breast,OFF02257
breast,OFF02258
breast,OFF02405
breast,OFF02589
breast,OFF10907
breast,OFF11166
breast,OFF11167
breast,OFF11168
breast,OFF11172
breast,OFF11419
breast,OFF11422
breast,OFF11910
breast,OFF11914
breast,OFF12239
breast,OFF12529
breast,OFF12650
breast,Unknown
colorectal,OFF00216
colorectal,OFF00976
colorectal,OFF00982
colorectal,OFF01020
colorectal,OFF01021
colorectal,OFF01022
colorectal,OFF01023
colorectal,OFF02143
colorectal,OFF02374
colorectal,OFF02375
colorectal,OFF02376
colorectal,OFF02461
colorectal,OFF10391
colorectal,OFF11157
colorectal,OFF11652
colorectal,OFF12017
colorectal,OFF12536
colorectal,OFF12562
colorectal,OFF12563
colorectal,Unknown
lung,OFF00012
lung,OFF00083
lung,OFF00086
lung,OFF00092
lung,OFF00101
lung,OFF00105
lung,OFF00930
lung,OFF00933
lung,OFF01001
lung,OFF0167
lung,OFF02088
lung,OFF02313
lung,OFF02424
lung,OFF10301
lung,OFF10391
lung,OFF10794
lung,OFF10920
lung,OFF11010
lung,OFF11652
lung,OFF12391
lung,OFF12488
lung,Unknown
ovarian,OFF00010
ovarian,OFF00166
ovarian,OFF00167
ovarian,OFF00170
ovarian,OFF00781
ovarian,OFF00787
ovarian,OFF00910
ovarian,OFF02338
ovarian,OFF02339
ovarian,OFF10900
ovarian,OFF12388
ovarian,Unknown
pancreatic,OFF00015
pancreatic,OFF00789
pancreatic,OFF01020
pancreatic,OFF02124
pancreatic,OFF10067
pancreatic,OFF12138
pancreatic,OFF12644
pancreatic,Unknown
uterine,OFF00787
uterine,OFF00818
uterine,OFF00820
uterine,OFF00822
uterine,OFF00823
uterine,OFF03538
uterine,OFF10391
uterine,OFF12560
uterine,Unknown
